t,context,y,nll,nll0,overconfident_memory_nll,memory_only_nll,fixed_half_nll,cumulative_nll,cumulative_nll0,no_harm_slack,accuracy,base_accuracy,ece,brier,base_brier,w_lambda_0,w_lambda_0.05,w_lambda_0.1,w_lambda_0.2,w_lambda_0.4,w_lambda_0.7,w_lambda_1
337,12,23,1.5512924075768495,3.0478814226073285,1.5125880864451904,1.551292407170068,2.042403190829299,845.0604451511774,1332.706971248627,-489.5924362465049,0.3798219584569733,0.05637982195845697,0.05742766964631823,0.7937861989800961,0.9300332899620583,2.3588838475912237e-213,5.5125756870746425e-171,1.3778473907684078e-141,1.321172103022636e-100,1.8278486385583555e-50,1.3403207242659843e-09,0.9999999986596793
338,12,23,1.4939588984232746,3.0478814226073285,1.4552872326078372,1.4939588981061884,1.9953152830775922,846.5544040496007,1335.7548526712344,-491.14635877068895,0.378698224852071,0.05917159763313609,0.05612699227327105,0.768786633646259,0.9300332899620583,4.987082802209239e-214,1.382808684855128e-171,3.999551350994633e-142,4.8768907465004785e-101,9.630024832401349e-51,1.0232345060624383e-09,0.9999999989767655
339,12,15,6.976771296833438,3.9165005083836064,27.631021115928547,6.976771303075169,4.563838152912258,853.5311753464342,1339.671353179618,-488.0860879822392,0.3775811209439528,0.058997050147492625,0.054851604722497636,1.2162824352294919,0.9851307183073561,1.0639109911639919e-212,2.8094062938617776e-170,7.719134059238886e-141,8.420764636397351e-100,1.2711632699427194e-49,7.2649649476973596e-09,0.999999992735035
340,12,23,1.4568899624502905,3.0478814226073285,1.4190841839438468,1.4568899607148142,1.9646174491145199,854.9880653088845,1342.7192346022255,-489.67707944239623,0.3764705882352941,0.061764705882352944,0.05360074340751277,0.7458340489299147,0.9300332899620583,2.1674370039662658e-213,6.841953681143223e-171,2.1872257072369948e-141,3.056559233075399e-100,6.638448283252727e-50,5.529488758783913e-09,0.9999999944705112
341,12,55,8.756092827016928,5.665050408494391,27.631021115928547,8.756092861852707,6.313745826483502,863.7441581359014,1348.3842850107199,-486.5860370238737,0.375366568914956,0.06158357771260997,0.05237367818798061,1.2122522114090388,1.0180220723435465,4.768361242616206e-212,1.433389246266274e-169,4.352579005776139e-140,5.44067524534405e-99,9.028289350716216e-49,4.036526653296707e-08,0.9999999596347334
342,12,23,1.42324463556046,3.0478814226073285,1.3862943611208278,1.4232446258362639,1.9365874090332569,865.1674027714619,1351.4321664333272,-488.21067381092064,0.3742690058479532,0.06432748538011696,0.05116971044026053,0.7246346384408687,0.9300332899620583,9.392870995539861e-213,3.399053959012439e-170,1.2069043870520742e-140,1.9455123950988273e-99,4.6783686206090804e-49,3.0641070768774937e-08,0.9999999693589292
343,12,62,9.400041836900819,6.2791466195597625,27.631021115928547,9.40004203606776,6.929121628254499,874.5674446083627,1357.711313052887,-485.08977859357947,0.37317784256559766,0.0641399416909621,0.05179338714019979,1.2075007127093405,1.0212020185520274,2.1290503349525527e-211,7.336290000388605e-169,2.474153500687121e-139,3.566772013964711e-98,6.549714764365935e-48,2.2980798499565434e-07,0.999999770192015
344,12,11,2.2838841816747344,4.596843965826653,2.2437445929719386,2.2838841195554203,2.882659844516407,876.8513287900374,1362.3081570187135,-487.40273837773134,0.37209302325581395,0.06395348837209303,0.05265726207932236,0.998127471636635,1.0047847989612881,2.107076279384193e-212,1.0565688355849868e-169,4.677909507654416e-140,9.957511788775749e-99,3.008812954535727e-48,1.6768868318184696e-07,0.9999998323113168
345,12,3,1.0671684535103545,3.6409683687078287,1.0266387890439341,1.067168407039389,1.6868372102347968,877.9184972435478,1365.9491253874212,-489.9765382929287,0.3739130434782609,0.06376811594202898,0.0506031283873329,0.5112866984085918,0.9724981499075835,1.6065459710242282e-213,1.2935890026946808e-170,7.88792593151735e-141,2.5988729798725464e-99,1.3411698890632752e-48,1.2121772429452016e-07,0.9999998787822757
346,12,57,2.8495228627929405,3.315874339615861,2.833213344056907,2.849522849239105,3.0557559663033382,880.7680201063407,1369.264999727037,-490.4428897697517,0.37283236994219654,0.06358381502890173,0.05147774606392608,1.0876835132574176,0.9523474302253109,1.007765030668479e-213,8.355581530598622e-171,5.2419850150731624e-141,1.8239655097234764e-99,1.0412468383575616e-48,1.076638905248425e-07,0.9999998923361095
